Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Unit,Y1961,Y1961F,Y1962,Y1962F,Y1963,Y1963F,Y1964,Y1964F,Y1965,Y1965F,Y1966,Y1966F,Y1967,Y1967F,Y1968,Y1968F,Y1969,Y1969F,Y1970,Y1970F,Y1971,Y1971F,Y1972,Y1972F,Y1973,Y1973F,Y1974,Y1974F,Y1975,Y1975F,Y1976,Y1976F,Y1977,Y1977F,Y1978,Y1978F,Y1979,Y1979F,Y1980,Y1980F,Y1981,Y1981F,Y1982,Y1982F,Y1983,Y1983F,Y1984,Y1984F,Y1985,Y1985F,Y1986,Y1986F,Y1987,Y1987F,Y1988,Y1988F,Y1989,Y1989F,Y1990,Y1990F,Y1991,Y1991F,Y1992,Y1992F,Y1993,Y1993F,Y1994,Y1994F,Y1995,Y1995F,Y1996,Y1996F,Y1997,Y1997F,Y1998,Y1998F,Y1999,Y1999F,Y2000,Y2000F,Y2001,Y2001F,Y2002,Y2002F,Y2003,Y2003F,Y2004,Y2004F,Y2005,Y2005F,Y2006,Y2006F,Y2007,Y2007F,Y2008,Y2008F,Y2009,Y2009F,Y2010,Y2010F,Y2011,Y2011F,Y2012,Y2012F,Y2013,Y2013F,Y2014,Y2014F,Y2015,Y2015F,Y2016,Y2016F,Y2017,Y2017F,Y2018,Y2018F,Y2019,Y2019F,Y2020,Y2020F,Y2021,Y2021F,Y2022,Y2022F,Y2023,Y2023F,Y2024,Y2024F
"4","'012","Algeria","221","'01371","Almonds, in shell","432","Gross Production Index Number (2014-2016 = 100)","","8.680000","E","8.680000","E","8.680000","E","9.260000","E","8.970000","E","8.240000","E","8.420000","E","6.500000","E","3.570000","E","4.340000","E","2.990000","E","5.420000","E","5.990000","E","6.610000","E","7.230000","E","11.870000","E","6.750000","E","4.620000","E","5.250000","E","5.640000","E","11.470000","E","9.600000","E","10.260000","E","10.810000","E","14.390000","E","11.660000","E","11.940000","E","14.000000","E","17.990000","E","16.970000","E","22.810000","E","25.890000","E","35.710000","E","27.640000","E","28.740000","E","48.540000","E","28.060000","E","31.300000","E","37.030000","E","38.310000","E","36.450000","E","46.700000","E","46.620000","E","54.940000","E","65.640000","E","77.640000","E","49.340000","E","57.170000","E","68.550000","E","82.410000","E","73.220000","E","96.170000","E","91.910000","E","93.770000","E","110.630000","E","95.600000","E","89.580000","E","82.760000","E","104.740000","E","87.990000","E","80.200000","E","91.430000","E","100.870000","E","99.100000","E"
"4","'012","Algeria","221","'01371","Almonds, in shell","434","Gross per capita Production Index Number (2014-2016 = 100)","","29.870000","E","29.430000","E","28.990000","E","30.420000","E","29.020000","E","26.210000","E","26.160000","E","19.760000","E","10.590000","E","12.600000","E","8.500000","E","15.030000","E","16.230000","E","17.470000","E","18.450000","E","28.950000","E","15.870000","E","10.550000","E","11.650000","E","12.130000","E","23.880000","E","19.330000","E","19.970000","E","20.340000","E","26.170000","E","20.510000","E","20.380000","E","23.230000","E","29.080000","E","26.760000","E","35.120000","E","38.910000","E","52.390000","E","39.660000","E","40.400000","E","66.910000","E","37.960000","E","41.680000","E","48.630000","E","49.610000","E","46.560000","E","58.860000","E","57.990000","E","67.390000","E","79.340000","E","92.400000","E","57.750000","E","65.710000","E","77.300000","E","91.130000","E","79.400000","E","102.230000","E","95.760000","E","95.720000","E","110.630000","E","93.660000","E","86.000000","E","77.920000","E","96.820000","E","79.950000","E","71.710000","E","80.460000","E","87.440000","E","84.720000","E"
"4","'012","Algeria","515","'01341","Apples","432","Gross Production Index Number (2014-2016 = 100)","","3.260000","E","2.970000","E","2.760000","E","2.640000","E","2.790000","E","2.380000","E","2.410000","E","2.220000","E","2.520000","E","2.730000","E","2.860000","E","2.430000","E","2.130000","E","3.090000","E","4.570000","E","3.100000","E","4.070000","E","3.300000","E","2.890000","E","4.630000","E","4.960000","E","5.190000","E","5.070000","E","8.240000","E","8.990000","E","8.630000","E","9.260000","E","8.480000","E","10.900000","E","8.260000","E","10.140000","E","13.140000","E","13.440000","E","10.450000","E","13.600000","E","15.660000","E","13.890000","E","15.980000","E","18.510000","E","20.460000","E","22.240000","E","25.660000","E","28.730000","E","35.060000","E","42.340000","E","60.050000","E","40.280000","E","55.320000","E","56.700000","E","80.270000","E","85.670000","E","84.270000","E","96.660000","E","98.110000","E","95.710000","E","106.180000","E","104.780000","E","103.410000","E","118.470000","E","120.160000","E","110.730000","E","116.920000","E","123.300000","E","125.440000","E"
"4","'012","Algeria","515","'01341","Apples","434","Gross per capita Production Index Number (2014-2016 = 100)","","11.240000","E","10.070000","E","9.210000","E","8.670000","E","9.030000","E","7.560000","E","7.490000","E","6.760000","E","7.480000","E","7.940000","E","8.130000","E","6.750000","E","5.780000","E","8.170000","E","11.680000","E","7.560000","E","9.570000","E","7.550000","E","6.430000","E","9.950000","E","10.330000","E","10.450000","E","9.870000","E","15.500000","E","16.350000","E","15.190000","E","15.820000","E","14.070000","E","17.620000","E","13.020000","E","15.620000","E","19.760000","E","19.730000","E","15.000000","E","19.120000","E","21.590000","E","18.800000","E","21.290000","E","24.320000","E","26.510000","E","28.420000","E","32.350000","E","35.750000","E","43.020000","E","51.190000","E","71.500000","E","47.170000","E","63.620000","E","63.960000","E","88.800000","E","92.940000","E","89.620000","E","100.740000","E","100.190000","E","95.750000","E","104.060000","E","100.620000","E","97.400000","E","109.550000","E","109.230000","E","99.040000","E","102.930000","E","106.930000","E","107.270000","E"
"4","'012","Algeria","526","'01343","Apricots","432","Gross Production Index Number (2014-2016 = 100)","","4.970000","E","5.400000","E","4.690000","E","5.830000","E","5.360000","E","4.550000","E","5.120000","E","4.490000","E","4.880000","E","5.550000","E","5.900000","E","5.040000","E","4.260000","E","5.200000","E","8.890000","E","8.150000","E","10.800000","E","8.530000","E","11.810000","E","9.110000","E","16.580000","E","15.600000","E","23.660000","E","21.370000","E","16.580000","E","14.480000","E","14.250000","E","12.710000","E","17.960000","E","13.680000","E","23.170000","E","15.950000","E","27.050000","E","16.690000","E","16.120000","E","31.280000","E","15.580000","E","22.720000","E","28.990000","E","22.040000","E","26.480000","E","28.830000","E","42.410000","E","34.410000","E","56.740000","E","65.310000","E","45.530000","E","67.420000","E","79.330000","E","77.610000","E","111.800000","E","105.310000","E","125.050000","E","84.830000","E","114.760000","E","100.410000","E","100.450000","E","94.720000","E","81.810000","E","73.230000","E","74.190000","E","76.430000","E","72.020000","E","67.680000","E"
"4","'012","Algeria","526","'01343","Apricots","434","Gross per capita Production Index Number (2014-2016 = 100)","","17.130000","E","18.320000","E","15.690000","E","19.160000","E","17.360000","E","14.460000","E","15.930000","E","13.650000","E","14.500000","E","16.140000","E","16.770000","E","13.990000","E","11.550000","E","13.760000","E","22.710000","E","19.890000","E","25.410000","E","19.520000","E","26.220000","E","19.600000","E","34.560000","E","31.450000","E","46.110000","E","40.230000","E","30.180000","E","25.500000","E","24.340000","E","21.110000","E","29.060000","E","21.590000","E","35.720000","E","23.990000","E","39.730000","E","23.980000","E","22.690000","E","43.160000","E","21.100000","E","30.290000","E","38.110000","E","28.560000","E","33.860000","E","36.370000","E","52.800000","E","42.240000","E","68.640000","E","77.810000","E","53.340000","E","77.560000","E","89.540000","E","85.900000","E","121.350000","E","112.050000","E","130.390000","E","86.670000","E","114.870000","E","98.460000","E","96.520000","E","89.270000","E","75.690000","E","66.600000","E","66.390000","E","67.320000","E","62.490000","E","57.910000","E"
"4","'012","Algeria","366","'01216","Artichokes","432","Gross Production Index Number (2014-2016 = 100)","","42.190000","E","41.080000","E","44.410000","E","31.090000","E","48.850000","E","35.030000","E","29.910000","E","35.230000","E","33.130000","E","43.450000","E","49.930000","E","20.800000","E","32.600000","E","32.730000","E","30.050000","E","38.130000","E","19.730000","E","22.890000","E","24.700000","E","15.460000","E","8.940000","E","4.150000","E","9.740000","E","11.620000","E","3.440000","E","4.980000","E","6.640000","E","6.940000","E","8.450000","E","6.940000","E","5.220000","E","8.420000","E","5.410000","E","6.310000","E","7.960000","E","21.540000","E","34.470000","E","50.210000","E","33.450000","E","43.830000","E","39.090000","E","38.250000","E","38.550000","E","56.020000","E","41.110000","E","28.420000","E","25.370000","E","38.070000","E","43.890000","E","52.830000","E","51.970000","E","59.570000","E","92.560000","E","90.040000","E","101.690000","E","108.270000","E","120.520000","E","138.400000","E","132.820000","E","140.730000","E","134.260000","E","138.180000","E","154.970000","E","152.880000","E"
"4","'012","Algeria","366","'01216","Artichokes","434","Gross per capita Production Index Number (2014-2016 = 100)","","145.340000","E","139.460000","E","148.480000","E","102.250000","E","158.260000","E","111.470000","E","93.080000","E","107.150000","E","98.480000","E","126.290000","E","141.880000","E","57.770000","E","88.410000","E","86.640000","E","76.790000","E","93.110000","E","46.440000","E","52.380000","E","54.860000","E","33.280000","E","18.640000","E","8.370000","E","18.970000","E","21.880000","E","6.270000","E","8.770000","E","11.350000","E","11.530000","E","13.680000","E","10.960000","E","8.050000","E","12.670000","E","7.940000","E","9.070000","E","11.200000","E","29.720000","E","46.690000","E","66.930000","E","43.980000","E","56.820000","E","49.980000","E","48.260000","E","48.000000","E","68.790000","E","49.750000","E","33.860000","E","29.730000","E","43.800000","E","49.550000","E","58.480000","E","56.420000","E","63.400000","E","96.540000","E","92.020000","E","101.800000","E","106.190000","E","115.820000","E","130.450000","E","122.910000","E","128.020000","E","120.170000","E","121.730000","E","134.500000","E","130.830000","E"
"4","'012","Algeria","486","'01312","Bananas","432","Gross Production Index Number (2014-2016 = 100)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"569.930000","E","660.910000","E","640.240000","E","268.780000","E","154.680000","E","114.980000","E","4.550000","E","4.550000","E","38.100000","E","69.240000","E","93.780000","E","114.680000","E","138.550000","E","138.550000","E","126.190000","E","64.170000","E","109.640000","E","100.000000","E","91.270000","E","100.300000","E","97.190000","E","96.250000","E","97.920000","E","97.120000","E","97.100000","E"
"4","'012","Algeria","486","'01312","Bananas","434","Gross per capita Production Index Number (2014-2016 = 100)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"737.070000","E","843.090000","E","805.920000","E","333.870000","E","189.480000","E","138.790000","E","5.410000","E","5.320000","E","43.740000","E","77.970000","E","103.570000","E","124.210000","E","147.100000","E","144.150000","E","128.640000","E","64.090000","E","107.270000","E","95.870000","E","85.820000","E","92.590000","E","88.200000","E","85.950000","E","86.050000","E","84.080000","E","82.900000","E"
